year,na_sales,eu_sales,global_sales,jp_sales,other_sales,rank,genre,name,platform,publisher
2006,41.4900016784668,29.020000457763672,82.73999786376953,3.7699999809265137,8.460000038146973,1,Sports,Wii Sports,Wii,Nintendo
1985,29.079999923706055,3.5799999237060547,40.2400016784668,6.809999942779541,0.7699999809265137,2,Platform,Super Mario Bros.,NES,Nintendo
2008,15.850000381469727,12.880000114440918,35.81999969482422,3.7899999618530273,3.309999942779541,3,Racing,Mario Kart Wii,Wii,Nintendo
2009,15.75,11.010000228881836,33,3.2799999713897705,2.9600000381469727,4,Sports,Wii Sports Resort,Wii,Nintendo
1996,11.270000457763672,8.890000343322754,31.3700008392334,10.220000267028809,1,5,Role-Playing,Pokemon Red/Pokemon Blue,GB,Nintendo
1989,23.200000762939453,2.259999990463257,30.260000228881836,4.21999979019165,0.5799999833106995,6,Puzzle,Tetris,GB,Nintendo
2006,11.380000114440918,9.229999542236328,30.010000228881836,6.5,2.9000000953674316,7,Platform,New Super Mario Bros.,DS,Nintendo
2006,14.029999732971191,9.199999809265137,29.020000457763672,2.930000066757202,2.8499999046325684,8,Misc,Wii Play,Wii,Nintendo
2009,14.59000015258789,7.059999942779541,28.6200008392334,4.699999809265137,2.259999990463257,9,Platform,New Super Mario Bros. Wii,Wii,Nintendo
1984,26.93000030517578,0.6299999952316284,28.309999465942383,0.2800000011920929,0.4699999988079071,10,Shooter,Duck Hunt,NES,Nintendo
2005,9.069999694824219,11,24.760000228881836,1.9299999475479126,2.75,11,Simulation,Nintendogs,DS,Nintendo
2005,9.8100004196167,7.570000171661377,23.420000076293945,4.130000114440918,1.9199999570846558,12,Racing,Mario Kart DS,DS,Nintendo
1999,9,6.179999828338623,23.100000381469727,7.199999809265137,0.7099999785423279,13,Role-Playing,Pokemon Gold/Pokemon Silver,GB,Nintendo
2007,8.9399995803833,8.029999732971191,22.719999313354492,3.5999999046325684,2.1500000953674316,14,Sports,Wii Fit,Wii,Nintendo
2009,9.09000015258789,8.59000015258789,22,2.5299999713897705,1.7899999618530273,15,Sports,Wii Fit Plus,Wii,Nintendo
2010,14.970000267028809,4.940000057220459,21.81999969482422,0.23999999463558197,1.6699999570846558,16,Misc,Kinect Adventures!,X360,Microsoft Game Studios
2013,7.010000228881836,9.270000457763672,21.399999618530273,0.9700000286102295,4.139999866485596,17,Action,Grand Theft Auto V,PS3,Take-Two Interactive
2004,9.430000305175781,0.4000000059604645,20.809999465942383,0.4099999964237213,10.569999694824219,18,Action,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive
1990,12.779999732971191,3.75,20.610000610351562,3.5399999618530273,0.550000011920929,19,Platform,Super Mario World,SNES,Nintendo
2005,4.75,9.260000228881836,20.219999313354492,4.159999847412109,2.049999952316284,20,Misc,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo
2006,6.420000076293945,4.519999980926514,18.360000610351562,6.039999961853027,1.3700000047683716,21,Role-Playing,Pokemon Diamond/Pokemon Pearl,DS,Nintendo
1989,10.829999923706055,2.7100000381469727,18.139999389648438,4.179999828338623,0.41999998688697815,22,Platform,Super Mario Land,GB,Nintendo
1988,9.539999961853027,3.440000057220459,17.280000686645508,3.8399999141693115,0.46000000834465027,23,Platform,Super Mario Bros. 3,NES,Nintendo
2013,9.630000114440918,5.309999942779541,16.3799991607666,0.05999999865889549,1.3799999952316284,24,Action,Grand Theft Auto V,X360,Take-Two Interactive
2002,8.40999984741211,5.489999771118164,16.149999618530273,0.4699999988079071,1.7799999713897705,25,Action,Grand Theft Auto: Vice City,PS2,Take-Two Interactive
2002,6.059999942779541,3.9000000953674316,15.850000381469727,5.380000114440918,0.5,26,Role-Playing,Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo
2010,5.570000171661377,3.2799999713897705,15.319999694824219,5.650000095367432,0.8199999928474426,27,Role-Playing,Pokemon Black/Pokemon White,DS,Nintendo
2005,3.440000057220459,5.360000133514404,15.300000190734863,5.320000171661377,1.1799999475479126,28,Puzzle,Brain Age 2: More Training in Minutes a Day,DS,Nintendo
2001,6.849999904632568,5.090000152587891,14.979999542236328,1.8700000047683716,1.159999966621399,29,Racing,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment
2011,9.029999732971191,4.28000020980835,14.760000228881836,0.12999999523162842,1.3200000524520874,30,Shooter,Call of Duty: Modern Warfare 3,X360,Activision
1998,5.889999866485596,5.039999961853027,14.640000343322754,3.119999885559082,0.5899999737739563,31,Role-Playing,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo
2010,9.670000076293945,3.7300000190734863,14.640000343322754,0.10999999940395355,1.1299999952316284,32,Shooter,Call of Duty: Black Ops,X360,Activision
2013,5.170000076293945,4.050000190734863,14.350000381469727,4.340000152587891,0.7900000214576721,33,Role-Playing,Pokemon X/Pokemon Y,3DS,Nintendo
2015,5.769999980926514,5.809999942779541,14.239999771118164,0.3499999940395355,2.309999942779541,34,Shooter,Call of Duty: Black Ops 3,PS4,Activision
2012,4.989999771118164,5.880000114440918,14.029999732971191,0.6499999761581421,2.5199999809265137,35,Shooter,Call of Duty: Black Ops II,PS3,Activision
2012,8.25,4.300000190734863,13.729999542236328,0.07000000029802322,1.1200000047683716,36,Shooter,Call of Duty: Black Ops II,X360,Activision
2009,8.520000457763672,3.630000114440918,13.510000228881836,0.07999999821186066,1.2899999618530273,37,Shooter,Call of Duty: Modern Warfare 2,X360,Activision
2011,5.539999961853027,5.820000171661377,13.460000038146973,0.49000000953674316,1.6200000047683716,38,Shooter,Call of Duty: Modern Warfare 3,PS3,Activision
2001,6.989999771118164,4.510000228881836,13.100000381469727,0.30000001192092896,1.2999999523162842,39,Action,Grand Theft Auto III,PS2,Take-Two Interactive
2008,6.75,2.609999895095825,13.039999961853027,2.6600000858306885,1.0199999809265137,40,Fighting,Super Smash Bros. Brawl,Wii,Nintendo
2010,5.980000019073486,4.440000057220459,12.729999542236328,0.47999998927116394,1.8300000429153442,41,Shooter,Call of Duty: Black Ops,PS3,Activision
2005,2.549999952316284,3.5199999809265137,12.270000457763672,5.329999923706055,0.8799999952316284,42,Simulation,Animal Crossing: Wild World,DS,Nintendo
2011,4.739999771118164,3.9100000858306885,12.210000038146973,2.6700000762939453,0.8899999856948853,43,Racing,Mario Kart 7,3DS,Nintendo
2007,7.96999979019165,2.8299999237060547,12.140000343322754,0.12999999523162842,1.2100000381469727,44,Shooter,Halo 3,X360,Microsoft Game Studios
2014,3.799999952316284,5.809999942779541,11.979999542236328,0.36000001430511475,2.0199999809265137,45,Action,Grand Theft Auto V,PS4,Take-Two Interactive
2009,4.400000095367432,2.7699999809265137,11.899999618530273,3.9600000381469727,0.7699999809265137,46,Action,Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo
1996,6.909999847412109,2.8499999046325684,11.890000343322754,1.909999966621399,0.23000000417232513,47,Platform,Super Mario 64,N64,Nintendo
2004,3.009999990463257,0.009999999776482582,11.65999984741211,1.100000023841858,7.53000020980835,48,Racing,Gran Turismo 4,PS2,Sony Computer Entertainment
2007,6.159999847412109,3.4000000953674316,11.520000457763672,1.2000000476837158,0.7599999904632568,49,Platform,Super Mario Galaxy,Wii,Nintendo
2014,4.230000019073486,3.369999885559082,11.329999923706055,3.0799999237060547,0.6499999761581421,50,Role-Playing,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo
1992,6.159999847412109,2.0399999618530273,11.180000305175781,2.690000057220459,0.28999999165534973,51,Adventure,Super Mario Land 2: 6 Golden Coins,GB,Nintendo
2008,6.760000228881836,3.0999999046325684,11.020000457763672,0.14000000059604645,1.0299999713897705,52,Action,Grand Theft Auto IV,X360,Take-Two Interactive
1997,4.019999980926514,3.869999885559082,10.949999809265137,2.5399999618530273,0.5199999809265137,53,Racing,Gran Turismo,PS,Sony Computer Entertainment
2011,4.889999866485596,2.990000009536743,10.789999961853027,2.130000114440918,0.7799999713897705,54,Platform,Super Mario 3D Land,3DS,Nintendo
2010,2.9600000381469727,4.880000114440918,10.770000457763672,0.8100000023841858,2.119999885559082,55,Racing,Gran Turismo 5,PS3,Sony Computer Entertainment
2009,4.989999771118164,3.690000057220459,10.6899995803833,0.3799999952316284,1.6299999952316284,56,Shooter,Call of Duty: Modern Warfare 2,PS3,Activision
2008,4.760000228881836,3.759999990463257,10.569999694824219,0.4399999976158142,1.6200000047683716,57,Action,Grand Theft Auto IV,PS3,Take-Two Interactive
1993,5.989999771118164,2.1500000953674316,10.550000190734863,2.119999885559082,0.28999999165534973,58,Platform,Super Mario All-Stars,SNES,Nintendo
2004,4.340000152587891,2.6500000953674316,10.489999771118164,3.1500000953674316,0.3499999940395355,59,Role-Playing,Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo
2004,5.079999923706055,3.109999895095825,10.420000076293945,1.25,0.9800000190734863,60,Platform,Super Mario 64,DS,Nintendo
2011,6.050000190734863,3.1500000953674316,10.260000228881836,0,1.0700000524520874,61,Misc,Just Dance 3,Wii,Ubisoft
2013,6.71999979019165,2.630000114440918,10.210000038146973,0.03999999910593033,0.8199999928474426,62,Shooter,Call of Duty: Ghosts,X360,Activision
2010,7.03000020980835,1.9800000190734863,9.880000114440918,0.07999999821186066,0.7799999713897705,63,Shooter,Halo: Reach,X360,Microsoft Game Studios
1996,5.550000190734863,1.940000057220459,9.869999885559082,2.2300000190734863,0.15000000596046448,64,Racing,Mario Kart 64,N64,Nintendo
2012,3.6600000858306885,3.069999933242798,9.819999694824219,2.4700000286102295,0.6299999952316284,65,Platform,New Super Mario Bros. 2,3DS,Nintendo
2012,6.630000114440918,2.359999895095825,9.760000228881836,0.03999999910593033,0.7300000190734863,66,Shooter,Halo 4,X360,Microsoft Game Studios
1997,3.009999990463257,2.4700000286102295,9.720000267028809,3.2799999713897705,0.9599999785423279,67,Role-Playing,Final Fantasy VII,PS,Sony Computer Entertainment
2013,4.090000152587891,3.7300000190734863,9.59000015258789,0.3799999952316284,1.3799999952316284,68,Shooter,Call of Duty: Ghosts,PS3,Activision
2010,5.840000152587891,2.890000104904175,9.520000457763672,0.009999999776482582,0.7799999713897705,69,Misc,Just Dance 2,Wii,Ubisoft
1999,3.880000114440918,3.4200000762939453,9.489999771118164,1.690000057220459,0.5,70,Racing,Gran Turismo 2,PS,Sony Computer Entertainment
2007,5.909999847412109,2.380000114440918,9.319999694824219,0.12999999523162842,0.8999999761581421,71,Shooter,Call of Duty 4: Modern Warfare,X360,Activision
1994,4.360000133514404,1.7100000381469727,9.300000190734863,3,0.23000000417232513,72,Platform,Donkey Kong Country,SNES,Nintendo
2013,5.579999923706055,2.8299999237060547,9.199999809265137,0.019999999552965164,0.7699999809265137,73,Misc,Minecraft,X360,Microsoft Game Studios
2012,2.009999990463257,2.319999933242798,9.09000015258789,4.360000133514404,0.4099999964237213,74,Simulation,Animal Crossing: New Leaf,3DS,Nintendo
2007,4.460000038146973,1.8799999952316284,9.020000457763672,1.9800000190734863,0.699999988079071,75,Misc,Mario Party DS,DS,Nintendo
2011,5.03000020980835,2.859999895095825,8.84000015258789,0.10000000149011612,0.8500000238418579,76,Role-Playing,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks
1992,3.5399999618530273,1.2400000095367432,8.760000228881836,3.809999942779541,0.18000000715255737,77,Racing,Super Mario Kart,SNES,Nintendo
